Customer_ID,Age,Gender,Location,Annual_Income,Browsing_Time_per_Week_Hours,Purchase_Frequency_Per_Month,Impact_of_Dynamic_Pricing_on_Purchase,Perception_of_Amazon_Revenue_Growth_due_to_Dynamic_Pricing,Perception_of_Competition_in_Amazon_Marketplace,Likely_to_Recommend_Amazon_Based_on_Pricing
1,69,Other,Australia,82187,13.61,8,High Impact,Negative Impact,Decreased Competition,Highly Likely
2,57,Other,Europe,101939,10.83,12,Moderate Impact,Significant Growth,No Change,Likely
3,60,Female,North America,79316,20.47,3,Moderate Impact,No Growth,Increased Competition,Highly Likely
4,67,Other,Australia,26415,4.64,8,Moderate Impact,No Growth,Decreased Competition,Highly Unlikely
5,43,Female,Australia,145038,10.49,9,High Impact,Moderate Growth,Increased Competition,Unlikely
6,57,Female,Asia,26977,28.96,0,Moderate Impact,No Growth,Increased Competition,Likely
7,25,Male,North America,119735,27.33,2,Low Impact,Moderate Growth,Increased Competition,Likely
8,24,Male,Australia,100763,13.85,19,High Impact,Significant Growth,No Change,Likely
9,19,Male,Asia,123435,22.74,1,Moderate Impact,No Growth,No Change,Highly Unlikely
10,63,Male,Europe,199247,29.86,11,High Impact,Negative Impact,Decreased Competition,Likely
11,30,Male,Asia,125332,24.31,3,Low Impact,Negative Impact,No Change,Likely
12,58,Other,Europe,196940,26.33,9,No Impact,Significant Growth,Increased Competition,Unlikely
13,62,Female,Asia,54798,26.47,7,High Impact,No Growth,No Change,Highly Unlikely
14,46,Female,Europe,76768,15.84,5,High Impact,Significant Growth,No Change,Highly Likely
15,59,Male,South America,109053,25.87,12,Moderate Impact,Moderate Growth,No Change,Highly Unlikely
16,33,Female,Europe,198099,1.12,5,Moderate Impact,Moderate Growth,No Change,Unlikely
17,65,Male,South America,101184,22.59,17,Moderate Impact,No Growth,Increased Competition,Unlikely
18,68,Other,Europe,196280,24.94,14,No Impact,Significant Growth,Decreased Competition,Unlikely
19,37,Other,Australia,99814,12.8,18,Low Impact,Moderate Growth,Increased Competition,Highly Unlikely
20,29,Male,Asia,33843,13.2,15,No Impact,Moderate Growth,Decreased Competition,Unlikely
21,50,Other,Europe,150750,3.09,11,High Impact,Significant Growth,No Change,Highly Likely
22,26,Other,Asia,112907,27.27,11,No Impact,Negative Impact,No Change,Highly Likely
23,40,Other,Australia,76767,18.41,16,Moderate Impact,No Growth,Increased Competition,Highly Likely
24,41,Male,Europe,125207,1.32,8,High Impact,No Growth,Increased Competition,Highly Unlikely
25,41,Female,North America,141011,29.19,11,High Impact,Significant Growth,No Change,Highly Unlikely
26,29,Other,North America,92607,27.42,16,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
27,59,Other,Australia,62705,15.43,2,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
28,20,Female,Europe,91774,17.09,6,Moderate Impact,No Growth,Decreased Competition,Unlikely
29,66,Male,South America,126501,5.61,18,No Impact,Significant Growth,No Change,Highly Likely
30,35,Male,South America,178597,1.5,19,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
31,21,Female,North America,39460,16.83,9,Moderate Impact,Moderate Growth,Decreased Competition,Unlikely
32,51,Male,Australia,191893,15.37,12,Low Impact,Moderate Growth,No Change,Unlikely
33,21,Female,Europe,152659,21.21,14,High Impact,No Growth,No Change,Highly Likely
34,59,Female,South America,83843,1.46,15,Moderate Impact,Significant Growth,No Change,Highly Likely
35,63,Other,North America,55773,22.68,0,Low Impact,Moderate Growth,Decreased Competition,Highly Unlikely
36,53,Male,Asia,117394,11.48,0,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
37,62,Female,North America,168179,24.69,6,Low Impact,Significant Growth,Increased Competition,Highly Unlikely
38,52,Male,South America,197319,27.43,7,Low Impact,Significant Growth,Decreased Competition,Likely
39,58,Female,South America,83015,24.49,6,Moderate Impact,No Growth,Decreased Competition,Highly Unlikely
40,43,Male,North America,50665,24.74,4,High Impact,No Growth,Decreased Competition,Highly Likely
41,28,Female,Australia,90357,13.57,17,Low Impact,Significant Growth,Decreased Competition,Highly Likely
42,21,Male,South America,96880,16.09,2,Moderate Impact,Negative Impact,No Change,Highly Likely
43,54,Other,North America,118097,4.73,16,Low Impact,No Growth,Increased Competition,Highly Likely
44,22,Other,South America,40092,16.86,17,Low Impact,No Growth,Increased Competition,Highly Likely
45,53,Female,Australia,107745,23.97,7,Moderate Impact,No Growth,Decreased Competition,Highly Likely
46,25,Female,North America,107607,10.94,14,Low Impact,Significant Growth,Increased Competition,Unlikely
47,43,Other,North America,137260,5.21,10,Moderate Impact,Negative Impact,Decreased Competition,Unlikely
48,59,Female,North America,149604,25.08,12,High Impact,Moderate Growth,Increased Competition,Likely
49,21,Female,Asia,140611,6.71,14,Moderate Impact,No Growth,No Change,Likely
50,43,Male,South America,128254,6.65,4,Low Impact,Negative Impact,Decreased Competition,Highly Likely
